0.17550,-1.74000,88.15000,9.34000,0.47290,-11.25000,87.42000,5.54000
0.40940,-84.62000,-15.05000,20.76000,0.24450,-82.24000,-11.25000,15.05000
0.37620,-86.81000,-1.74000,15.05000,0.27070,-84.73000,1.74000,18.85000
0.38190,-82.25000,18.85000,9.34000,0.27570,-82.96000,20.76000,11.25000
0.43000,15.05000,88.88000,5.54000,0.21880,18.85000,84.98000,9.34000
0.34910,13.15000,84.56000,18.36000,0.29840,19.79000,87.25000,11.25000
0.36060,-85.66000,11.25000,1.74000,0.29260,-86.64000,7.44000,1.74000
0.46470,9.34000,90.88000,16.32000,0.19700,9.34000,86.44000,9.34000
0.42980,-87.96000,-20.76000,7.44000,0.22250,-84.39000,-16.95000,11.25000
0.35870,3.64000,85.71000,15.05000,0.30350,5.54000,85.96000,20.75000
0.42470,-88.91000,-16.95000,16.95000,0.23160,-85.58000,-1.74000,16.95000
0.39650,-82.24000,-9.34000,9.34000,0.25360,-82.99000,-9.71000,5.54000
0.44090,-86.39000,-20.76000,14.65000,0.20520,-82.48000,-18.85000,16.95000
0.13090,-16.95000,91.57000,11.25000,0.52860,-14.81000,88.36000,7.44000
0.35240,-9.34000,86.44000,11.25000,0.30990,-9.34000,85.47000,15.05000
0.33650,-82.24000,-20.76000,18.85000,0.31170,-88.20000,-5.54000,18.85000
0.18050,16.95000,89.37000,11.25000,0.48420,13.15000,91.32000,11.25000
0.42540,11.25000,87.66000,1.74000,0.21880,13.15000,86.20000,3.64000
0.40310,-1.74000,88.88000,13.15000,0.26160,-1.74000,87.42000,9.34000
0.34000,16.95000,88.15000,13.15000,0.31200,15.05000,89.06000,4.50000
0.41830,7.44000,87.42000,1.74000,0.24030,9.34000,87.42000,3.64000
0.46130,3.64000,89.86000,16.95000,0.20000,6.52000,86.56000,18.85000
0.37720,-6.35000,87.46000,20.76000,0.28710,-3.64000,91.32000,18.85000
0.38850,-1.74000,91.58000,13.15000,0.26810,3.64000,90.36000,9.34000
0.41260,7.44000,88.88000,5.54000,0.24450,6.91000,88.92000,10.27000
0.39830,1.74000,91.81000,7.44000,0.25610,5.54000,90.35000,20.75000
0.33070,15.05000,85.67000,15.05000,0.32760,16.95000,84.49000,13.15000
0.35280,-85.58000,13.15000,5.54000,0.29910,-84.44000,16.95000,1.74000
